"movie_imdb_id","revenue","total_runtime_in_minute","meta_critics_count","meta_score","release_date","cast_last5_movies_avg_revenue","cast_last5_movies_avg_total_runtime","cast_last5_movies_avg_meta_critics_count","cast_last5_movies_avg_meta_score","cast_last5_movies_avg_actor_credits","cast_last5_movies_max_release_date"
"tt0079944",11537,162,144,NA,NA,0,119,0,NA,75,NA
"tt0119164",176585,91,85,75,"1997-09-19 02:00:00",192683,100,12,74,75,1998-05-01
"tt0247199",26263,98,93,75,NA,1183808,100,37,51,68,2013-07-30
"tt0293429",23302503,110,268,44,NA,16953827,111,116,53,39,2021-07-02
"tt0340855",86831,109,188,74,"2004-01-30 01:00:00",4325861,102,39,48,110,2004-07-11
"tt0386950",0,NA,2,NA,NA,9458649,99,87,54,75,2020-08-28
"tt0499097",0,109,162,41,"2021-04-30 02:00:00",2876520,101,59,54,47,2021-08-26
"tt0870154",35018731,127,271,50,NA,9086194,106,104,58,58,2021-07-16
"tt0993840",0,148,162,57,"2021-05-21 02:00:00",10996470,114,74,52,53,2021-08-27
"tt0995854",2201886,131,21,42,NA,2172713,103,51,58,40,2021-08-27
"tt10011320",0,88,9,77,"2021-06-01 02:00:00",NA,NA,NA,NA,NA,NA
"tt10016180",4705527,128,225,54,"2021-01-29 01:00:00",4381000,101,78,55,61,2021-12-14
"tt10023286",0,108,58,78,NA,5800080,108,176,66,62,2021-07-21
"tt10037014",0,109,52,NA,"2021-02-12 01:00:00",2501288,96,37,49,40,2021-04-30
"tt10042868",0,112,3,NA,NA,3108462,112,67,60,29,2021-05-28
"tt10095582",0,105,146,87,"2022-01-14 01:00:00",2991182,113,117,63,61,2021-12-03
"tt10096842",0,92,51,54,"2021-06-25 02:00:00",8332899,102,70,61,48,2021-06-11
"tt10101702",0,90,15,NA,"2021-09-24 02:00:00",2968842,98,32,50,174,2021-11-19
"tt10121392",0,106,130,34,"2021-04-09 02:00:00",11577459,104,101,51,70,2021-05-07
"tt10160896",50124,110,2,NA,NA,750868,98,19,48,59,2021-06-11
"tt10195452",46410,90,18,24,NA,1840164,100,33,51,60,2021-11-03
"tt10207710",0,91,21,58,"2021-09-03 02:00:00",3045525,97,33,47,89,2021-08-17
"tt10225926",0,85,7,NA,"2021-05-18 02:00:00",1370813,94,13,29,134,2021-08-06
"tt10228134",0,91,112,48,"2021-07-23 02:00:00",1981915,106,79,48,84,2021-09-03
"tt10230994",0,110,94,52,"2021-08-13 02:00:00",818017,109,81,68,34,2022-04-20
"tt10265034",899810,89,129,61,"2021-02-12 01:00:00",7335822,104,84,51,46,2020-12-25
"tt10279362",0,113,86,56,NA,13026890,106,134,62,58,2021-10-01
"tt10293406",0,126,255,89,"2021-12-01 01:00:00",4878931,105,95,59,50,2021-07-22
"tt10314548",37000,119,12,NA,NA,2378457,100,31,49,43,2021-12-10
"tt10327252",12551220,103,161,53,"2021-07-02 02:00:00",1329298,101,42,57,48,2021-11-02
"tt10332588",0,123,43,69,"2021-01-29 01:00:00",1493864,94,26,50,68,2021-06-08
"tt10333426",0,103,103,40,"2021-02-05 01:00:00",4909807,101,71,57,45,2021-07-30
"tt10339052",0,102,40,54,"2021-09-17 02:00:00",618243,99,46,49,76,2021-04-02
"tt10342730",8750034,93,247,40,"2021-05-14 02:00:00",8774364,101,65,51,64,2021-04-16
"tt10344522",298358,100,39,52,NA,2530942,99,53,56,77,2020-11-25
"tt10366460",0,111,167,75,"2021-08-13 02:00:00",2214842,97,49,48,38,2021-04-27
"tt10388028",4142,103,29,74,"2021-07-30 02:00:00",NA,NA,NA,NA,NA,NA
"tt10418662",0,96,78,35,"2021-06-09 02:00:00",5341694,99,72,58,68,2021-11-24
"tt10430850",0,101,10,NA,"2021-08-27 02:00:00",3658419,101,48,53,47,2021-08-27
"tt10441822",19054,91,36,60,NA,388365,99,30,57,40,2021-01-29
"tt10451852",15700,124,90,72,"2021-07-30 02:00:00",26507524,109,84,66,32,2021-07-30
"tt10451914",0,114,127,45,"2021-01-15 01:00:00",10882258,107,88,56,41,2021-04-13
"tt10515988",0,98,54,37,"2021-10-29 02:00:00",379900,98,37,67,61,2022-02-11
"tt10521144",0,103,45,65,"2021-09-15 02:00:00",11002421,104,94,53,34,2021-08-06
"tt10533804",0,84,11,56,"2021-07-02 02:00:00",1318943,94,30,48,44,2021-08-20
"tt10633456",193460,115,290,89,NA,3283883,100,46,53,47,2021-01-12
"tt10661710",0,112,14,NA,"2021-01-22 01:00:00",1749347,99,25,46,65,2022-01-01
"tt10665338",49404980,105,304,42,NA,6281082,101,93,52,68,2021-09-17
"tt10676012",0,109,59,65,"2021-02-12 01:00:00",2131592,98,58,54,46,2021-06-04
"tt10687506",0,111,77,63,"2021-11-05 01:00:00",2609119,112,86,63,50,2022-02-11
"tt10696784",0,139,139,68,"2021-11-03 01:00:00",852507,102,57,59,38,2021-11-19
"tt10696896",5188150,139,147,60,"2021-07-30 02:00:00",2288695,96,36,54,48,2021-06-08
"tt10702148",25378,85,64,82,"2021-05-14 02:00:00",99509,103,25,52,36,2019-05-17
"tt10719958",0,93,20,58,"2021-06-18 02:00:00",5155047,101,64,52,69,2021-09-17
"tt10731768",0,110,77,46,"2021-08-20 02:00:00",5261863,105,58,53,45,2022-02-17
"tt10741846",84366,90,41,77,"2021-06-18 02:00:00",1917451,139,85,82,42,2021-08-06
"tt10752004",0,104,56,42,"2021-11-05 01:00:00",1857719,93,31,49,49,2021-11-30
"tt10763820",0,107,67,42,"2021-10-20 02:00:00",2876632,102,80,50,47,2021-10-08
"tt10767066",0,105,15,53,NA,418906,93,14,58,30,2021-05-28
"tt10793644",23182,89,175,69,"2021-02-26 01:00:00",30150,103,22,65,48,2020-08-26
"tt10837932",0,91,14,81,"2021-06-18 02:00:00",230820,87,11,51,34,2020-03-13
"tt10838180",10749011,148,299,63,NA,4565034,103,70,61,62,2021-12-03
"tt10872600",260138569,148,334,71,"2021-12-17 01:00:00",13751106,112,137,60,73,2021-12-17
"tt10896398",1200165,90,41,54,"2021-03-05 01:00:00",5255171,111,114,66,34,2021-06-30
"tt10925852",130701,105,12,52,NA,1223787,103,64,58,54,2021-08-31
"tt10926320",13854,91,20,42,NA,3381192,104,52,55,26,2021-06-04
"tt10944596",1042171,93,38,40,NA,905831,96,47,61,37,2021-03-26
"tt10954652",16854735,108,303,55,"2021-07-23 02:00:00",6969104,108,106,62,43,2021-12-13
"tt10962368",0,121,116,49,"2021-04-29 02:00:00",2567062,103,87,58,53,2021-03-04
"tt10986222",134447,109,92,82,NA,4262048,106,73,57,42,2021-11-30
"tt11003218",970935,92,206,82,"2021-07-16 02:00:00",1258315,98,31,54,56,2021-09-17
"tt11012066",0,93,65,35,"2021-11-12 01:00:00",5703231,102,64,57,65,2021-10-22
"tt11020728",245182,91,25,53,NA,230403,99,36,57,55,2021-05-28
"tt11080108",0,98,80,61,"2021-02-12 01:00:00",2895954,97,45,57,33,2021-04-02
"tt11083552",8309007,119,217,57,"2021-05-07 02:00:00",12190622,109,114,53,60,2021-06-11
"tt11084896",6101050,88,68,49,NA,6489074,99,76,58,73,2021-05-14
"tt11092594",0,91,25,73,"2021-10-01 02:00:00",NA,NA,NA,NA,NA,NA
"tt11111286",0,97,9,NA,"2021-05-04 02:00:00",781962,90,13,36,35,2021-04-20
"tt11125620",17325007,93,79,37,NA,12459890,102,76,56,125,2021-10-22
"tt11196036",1039580,111,152,77,"2021-09-10 02:00:00",4424030,104,52,49,45,2021-10-22
"tt11214590",14423794,158,227,59,"2021-11-24 01:00:00",4643988,118,91,56,53,2022-01-21
"tt11233960",0,112,82,41,"2021-12-10 01:00:00",1835459,105,69,61,79,2021-12-03
"tt11235772",0,116,43,54,"2021-09-10 02:00:00",3802157,103,76,57,26,2021-10-22
"tt11263022",0,87,32,43,"2021-03-26 01:00:00",228936,99,23,48,77,2021-06-04
"tt11268742",0,99,20,NA,"2021-01-15 01:00:00",4314009,100,51,56,35,2021-08-20
"tt11271038",345157,133,150,90,"2021-12-25 01:00:00",1369471,107,69,65,28,2021-12-25
"tt11284502",0,NA,27,42,"2021-10-08 02:00:00",6720105,102,53,58,51,2021-09-03
"tt11285280",532773,90,84,70,NA,910394,98,38,52,69,2021-08-20
"tt11286314",0,138,254,49,"2021-12-24 01:00:00",4730566,113,104,58,82,2021-12-17
"tt11307724",16658,103,67,61,"2021-08-06 02:00:00",2682681,104,85,57,29,2021-05-11
"tt11317142",7160,77,126,79,"2021-04-02 02:00:00",4055103,100,62,58,53,2021-02-26
"tt11383348",0,82,9,56,"2021-06-25 02:00:00",2120954,98,87,52,83,2020-04-10
"tt11388990",17127,111,36,76,NA,37132,93,3,59,37,2018-04-20
"tt11389748",13485,111,105,81,NA,5326854,101,60,61,91,2022-02-18
"tt11422728",802054,118,106,96,"2021-07-02 02:00:00",NA,NA,NA,NA,NA,NA
"tt11433048",0,90,52,74,"2021-09-03 02:00:00",3365896,102,54,52,35,2020-12-11
"tt11459366",0,140,52,70,"2021-02-26 01:00:00",7693,102,17,57,52,2014-01-10
"tt11525644",0,115,91,76,"2021-07-01 02:00:00",23976664,104,112,57,58,2021-06-06
"tt11540284",0,97,41,66,"2021-11-24 01:00:00",2909417,105,90,59,65,2021-10-19
"tt11548850",0,83,34,NA,NA,55198,93,8,49,71,2020-09-08
"tt1160419",41011174,155,473,74,"2021-10-22 02:00:00",16470263,119,117,61,63,2021-12-17
"tt11649338",0,84,52,52,NA,2381617,99,60,52,49,2021-08-13
"tt11656220",0,99,44,24,"2021-07-23 02:00:00",695173,97,47,42,52,2021-07-23
"tt11657662",0,83,30,67,"2021-08-23 02:00:00",1404358,103,31,52,156,2021-07-23
"tt11729298",5861836,112,32,53,"2021-12-25 01:00:00",3111071,105,52,54,71,2021-06-11
"tt11738830",17841,93,72,72,NA,4598979,99,43,59,25,2021-06-11
"tt11742798",0,109,33,NA,"2021-09-02 02:00:00",2959945,96,41,54,34,2021-09-02
"tt11762434",0,88,53,9,"2021-03-12 01:00:00",1159293,115,34,52,66,2021-05-07
"tt11771006",0,113,20,57,"2021-09-24 02:00:00",2123185,99,66,53,74,2021-09-17
"tt11777510",0,93,9,NA,"2021-06-18 02:00:00",956160,103,43,62,41,2021-03-18
"tt11788956",0,81,20,NA,"2021-08-20 02:00:00",376731,94,25,41,38,2021-07-30
"tt11804152",0,88,79,66,"2021-07-02 02:00:00",1704076,99,43,47,38,2021-07-23
"tt11826450",0,96,21,30,"2021-09-17 02:00:00",2952224,95,33,52,71,2021-03-12
"tt11832046",13148340,86,42,50,NA,3253898,97,44,50,53,2021-04-30
"tt11833710",0,88,2,NA,"2021-09-10 02:00:00",794840,98,16,50,48,2021-12-10
"tt11867884",11003,80,23,53,NA,203826,98,24,55,43,2021-06-11
"tt11905538",0,96,31,76,"2021-08-13 02:00:00",NA,NA,NA,NA,NA,NA
"tt1196141",22126166,NA,106,56,"2010-03-19 01:00:00",8396056,98,78,52,63,2013-07-26
"tt12163074",88831,75,31,NA,NA,0,91,3,NA,52,2021-04-12
"tt12361974",0,242,297,54,"2021-03-18 01:00:00",26173308,112,210,54,73,2021-09-03
"tt12383460",0,88,43,32,"2021-10-27 02:00:00",1807151,92,37,58,41,2021-10-01
"tt12528166",0,96,23,NA,"2021-07-16 02:00:00",1080463,98,39,36,44,2021-07-23
"tt12536294",2104767,117,240,76,"2021-11-05 01:00:00",2279779,104,59,61,60,2021-12-31
"tt12676326",0,106,213,53,"2021-02-05 01:00:00",13608409,111,185,69,31,2021-05-07
"tt12731980",21161,99,47,69,"2021-10-01 02:00:00",994219,101,36,48,62,2021-09-03
"tt12783454",0,112,38,36,"2021-08-11 02:00:00",4163565,112,41,41,28,2021-04-09
"tt12800524",0,108,88,57,"2021-12-10 01:00:00",1231752,105,42,54,70,2021-09-03
"tt12801262",0,95,255,71,"2021-06-18 02:00:00",6867370,107,78,58,51,2021-10-22
"tt12851396",0,104,14,NA,"2021-07-21 02:00:00",1810996,96,42,58,163,2022-01-14
"tt12889404",0,124,41,69,"2022-02-25 01:00:00",6676644,113,97,64,71,2022-03-25
"tt13016030",9050,86,19,70,"2021-06-18 02:00:00",NA,NA,NA,NA,NA,NA
"tt13024674",0,127,117,49,"2021-10-29 02:00:00",1395826,103,23,45,39,2021-06-25
"tt13029044",0,110,47,43,"2021-12-17 01:00:00",3929847,107,85,57,41,2022-01-07
"tt13061914",0,118,90,42,"2021-01-14 01:00:00",5569154,103,64,51,54,2021-09-03
"tt13069986",426457,98,28,NA,"2021-10-22 02:00:00",2996847,98,50,43,57,2022-02-25
"tt13172796",0,107,29,74,"2021-05-28 02:00:00",2812888,101,50,54,46,2021-08-07
"tt13207508",0,112,57,66,"2021-12-17 01:00:00",10229610,109,109,54,56,2021-12-01
"tt13207508",0,112,57,66,"2021-12-17 01:00:00",10229610,109,109,54,56,2021-12-01
"tt1321510",11504710,143,220,84,"2021-06-11 02:00:00",6906760,111,66,60,35,2021-06-11
"tt13234058",0,95,22,NA,"2021-09-15 02:00:00",3445771,106,54,57,41,2021-11-05
"tt13265876",0,94,20,NA,"2021-11-12 01:00:00",2981074,94,45,30,100,2021-07-23
"tt13363828",6009,97,47,48,"2021-09-03 02:00:00",424190,94,41,55,58,2021-10-15
"tt13372794",0,81,43,59,"2021-10-08 02:00:00",1846659,98,28,45,66,2021-08-06
"tt13372884",0,87,47,53,"2021-10-01 02:00:00",5994176,102,70,55,64,2021-11-01
"tt13372944",0,83,33,43,"2021-10-08 02:00:00",4069179,100,57,52,35,2021-11-02
"tt13372992",0,85,49,55,"2021-10-01 02:00:00",1563140,98,41,49,63,2021-05-28
"tt13392012",40683,104,89,36,NA,1287152,95,43,50,69,2021-10-01
"tt13429362",505723,107,126,63,"2021-04-16 02:00:00",870189,106,94,64,43,2021-06-26
"tt13430932",0,82,16,NA,NA,0,90,3,NA,21,2020-11-10
"tt13432484",0,85,42,61,"2021-11-19 01:00:00",7452,97,31,63,45,2022-01-21
"tt13453006",88195,130,217,75,NA,2933031,98,40,63,27,2021-02-02
"tt13454122",0,90,22,NA,"2021-04-16 02:00:00",4462745,95,48,64,209,2021-08-13
"tt13507778",0,100,69,67,"2021-08-27 02:00:00",2160953,102,55,58,77,2021-12-10
"tt13575806",0,95,22,58,"2021-12-10 01:00:00",2063015,100,58,51,49,2021-11-05
"tt1361336",14112629,101,145,32,"2021-02-26 01:00:00",5986155,100,81,54,48,2021-06-20
"tt13622084",15091,95,29,77,"2021-07-23 02:00:00",NA,NA,NA,NA,NA,NA
"tt13622118",12891,95,63,74,"2021-08-20 02:00:00",1698206,97,57,63,70,2020-10-20
"tt13622168",0,90,25,68,"2021-08-12 02:00:00",NA,NA,NA,NA,NA,NA
"tt14030526",3157,90,16,80,"2021-10-21 02:00:00",NA,NA,NA,NA,NA,NA
"tt14031338",26255,91,57,68,"2021-09-10 02:00:00",3459923,100,97,64,50,2021-01-29
"tt14315756",0,99,39,49,"2021-12-02 01:00:00",1534330,99,39,49,54,2021-08-13
"tt14512538",1988795,119,68,NA,"2021-07-16 02:00:00",NA,NA,NA,NA,NA,NA
"tt14547524",301028,116,27,52,NA,6518649,107,91,51,80,2022-02-03
"tt14578032",0,110,4,NA,NA,747471,96,12,53,55,2021-10-04
"tt14673560",0,88,28,54,"2021-07-30 02:00:00",2923930,103,74,56,116,2021-07-30
"tt14731142",0,106,22,NA,"2021-11-18 01:00:00",4059246,97,44,48,36,2021-11-19
"tt14731254",0,109,60,73,"2021-08-06 02:00:00",10576,95,25,69,92,2014-05-09
"tt14769324",700181,91,3,NA,"2021-09-10 02:00:00",1645007,111,17,33,11,2018-05-01
"tt14857602",548848,109,11,42,NA,5769822,102,34,38,34,2021-03-26
"tt15385930",0,94,4,46,"2021-10-08 02:00:00",0,NA,0,NA,105,2021-12-12
"tt1587420",0,93,27,NA,"2021-12-03 01:00:00",2468258,93,31,52,68,2022-01-27
"tt1661199",67877361,105,369,67,"2015-03-13 01:00:00",8103087,112,116,55,67,2020-04-02
"tt1697800",0,92,26,23,"2021-07-16 02:00:00",2280951,97,42,50,58,2021-07-01
"tt1924245",4426161,104,152,58,NA,1541263,104,56,53,36,2021-05-27
"tt2076822",3775350,109,163,38,"2021-03-05 01:00:00",6938715,109,98,59,68,2021-09-24
"tt2231874",0,105,29,32,"2021-04-02 02:00:00",3245516,103,73,49,61,2021-03-02
"tt2235372",0,105,26,60,"2021-02-05 01:00:00",2595244,97,53,50,58,2021-08-07
